Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x09_Odd_Even","PinHeader_1x08_P2.54mm_Vertical",50.230000,-69.840000,0.000000,top
"J2","Conn_02x18_Odd_Even","PinHeader_1x08_P2.54mm_Vertical",54.820000,-69.840000,0.000000,top
"U1","Conn_01x05","PinHeader_1x08_P2.54mm_Vertical",59.410000,-69.840000,0.000000,top
"U2","DRV2605LDGS","PinHeader_1x08_P2.54mm_Vertical",111.000000,-90.800000,0.000000,top
"U3","PAL24","PinHeader_1x08_P2.54mm_Vertical",64.000000,-69.840000,0.000000,top
"U4","Q_Triac","PinHeader_1x08_P2.54mm_Vertical",68.590000,-69.840000,0.000000,top
"U5","SX1276","PinHeader_1x08_P2.54mm_Vertical",126.000000,-90.760000,0.000000,top
"U6","Conn_02x04_Odd_Even_Shielded","PinHeader_1x08_P2.54mm_Vertical",73.180000,-69.840000,0.000000,top
"U7","Conn_01x08_Shielded","PinHeader_1x08_P2.54mm_Vertical",77.770000,-69.840000,0.000000,top
